sample_id,condition,task_type,field_match,accuracy,leakage,cmd_valid,unmask_success,latency_sec,input_tokens,output_tokens
B3-001,C0,firewall_config,1.0,1.0,1.0,1.0,,1.3037,1078,127
B3-002,C0,firewall_config,1.0,1.0,1.0,1.0,,1.2132,1067,152
B3-003,C0,firewall_config,0.75,1.0,0.5,1.0,,3.1439,1126,123
B3-004,C0,firewall_config,0.8333,1.0,1.0,1.0,,1.2789,1065,146
B3-005,C0,firewall_config,1.0,1.0,1.0,1.0,,1.1659,1074,135
B3-006,C0,firewall_config,1.0,1.0,1.0,1.0,,1.3958,1095,149
B3-007,C0,firewall_config,0.75,1.0,0.25,1.0,,1.2472,1141,113
B3-008,C0,firewall_config,0.75,1.0,1.0,1.0,,1.2518,1081,126
B3-009,C0,firewall_config,1.0,1.0,1.0,1.0,,2.168,1064,128
B3-010,C0,firewall_config,1.0,1.0,1.0,1.0,,2.3132,1082,155
B3-011,C0,qos_config,1.0,1.0,1.0,1.0,,1.1813,1091,127
B3-012,C0,qos_config,0.8,1.0,1.0,1.0,,1.3822,1084,125
B3-013,C0,qos_config,0.75,1.0,1.0,1.0,,1.1539,1127,126
B3-014,C0,qos_config,0.8333,1.0,1.0,1.0,,1.1774,1069,135
B3-015,C0,qos_config,1.0,1.0,1.0,1.0,,1.1272,1081,113
B3-016,C0,qos_config,0.8,1.0,1.0,1.0,,1.2123,1077,133
B3-017,C0,qos_config,1.0,1.0,1.0,1.0,,1.2221,1070,117
B3-018,C0,qos_config,0.75,1.0,1.0,1.0,,1.5007,1111,123
B3-019,C0,qos_config,0.8,1.0,1.0,1.0,,1.139,1086,128
B3-020,C0,qos_config,1.0,1.0,1.0,1.0,,3.5683,1068,118
B3-021,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.3947,1059,137
B3-022,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,2.0872,1054,128
B3-023,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.1649,1134,142
B3-024,C0,sdn_flow_config,0.8,1.0,1.0,1.0,,1.1831,1044,115
B3-025,C0,sdn_flow_config,0.8333,1.0,1.0,1.0,,1.1941,1054,138
B3-026,C0,sdn_flow_config,0.6,1.0,0.6667,1.0,,1.2905,1074,144
B3-027,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.2209,1061,152
B3-028,C0,sdn_flow_config,0.6667,0.5,0.75,1.0,,1.5251,1125,144
B3-029,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.8082,1054,126
B3-030,C0,sdn_flow_config,0.6667,0.5,0.75,1.0,,1.6088,1065,129
B3-031,C0,ran_handover_config,1.0,1.0,1.0,1.0,,1.1842,1075,118
B3-032,C0,ran_handover_config,1.0,1.0,1.0,1.0,,1.8342,1080,143
B3-033,C0,ran_handover_config,0.8,1.0,1.0,1.0,,1.1023,1122,113
B3-034,C0,ran_handover_config,0.5,0.0,0.6667,1.0,,1.2618,1069,123
B3-035,C0,ran_handover_config,0.6667,1.0,0.6,1.0,,1.3764,1075,105
B3-036,C0,ran_handover_config,1.0,1.0,1.0,1.0,,1.2173,1065,129
B3-037,C0,ran_handover_config,1.0,0.0,1.0,1.0,,1.175,1070,134
B3-038,C0,ran_handover_config,0.75,0.5,1.0,1.0,,1.2771,1108,152
B3-039,C0,slice_policy_config,0.75,1.0,1.0,1.0,,1.17,1055,124
B3-040,C0,slice_policy_config,0.6667,1.0,1.0,1.0,,2.3416,1057,120
B3-041,C0,slice_policy_config,1.0,1.0,0.5,1.0,,1.1834,1103,105
B3-042,C0,slice_policy_config,1.0,1.0,1.0,1.0,,1.2284,1050,106
B3-043,C0,slice_policy_config,1.0,1.0,1.0,1.0,,1.4164,1058,180
B3-044,C0,slice_policy_config,0.5,1.0,1.0,1.0,,1.6223,1041,112
B3-045,C0,edge_acl_config,1.0,1.0,1.0,1.0,,1.1501,1049,113
B3-046,C0,edge_acl_config,1.0,1.0,1.0,1.0,,1.401,1047,147
B3-047,C0,operator_history_config,1.0,1.0,1.0,1.0,,2.0213,1064,134
B3-048,C0,operator_history_config,1.0,1.0,1.0,1.0,,1.2325,1082,134
B3-049,C0,rag_doc_config,1.0,1.0,1.0,1.0,,1.2854,1086,154
B3-050,C0,rag_doc_config,0.8,0.0,1.0,1.0,,1.3522,1118,140
B3-001,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,2.33,1081,135
B3-002,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.3551,1069,145
B3-003,C1,firewall_config,0.75,1.0,0.0,1.0,1.0,1.2229,1124,118
B3-004,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.2496,1068,145
B3-005,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.1677,1079,140
B3-006,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.2519,1098,146
B3-007,C1,firewall_config,0.75,1.0,0.0,1.0,1.0,1.467,1135,122
B3-008,C1,firewall_config,0.75,1.0,0.0,1.0,1.0,2.0823,1088,119
B3-009,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.189,1064,126
B3-010,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.3871,1091,167
B3-011,C1,qos_config,1.0,1.0,0.0,1.0,1.0,1.1222,1088,122
B3-012,C1,qos_config,1.0,1.0,0.0,1.0,1.0,1.5539,1089,131
B3-013,C1,qos_config,0.75,1.0,0.0,1.0,1.0,1.206,1119,121
B3-014,C1,qos_config,0.6667,1.0,0.0,1.0,1.0,2.2153,1068,129
B3-015,C1,qos_config,1.0,1.0,0.0,1.0,1.0,1.1983,1091,142
B3-016,C1,qos_config,0.8,1.0,0.0,1.0,1.0,1.7914,1077,131
B3-017,C1,qos_config,1.0,1.0,0.0,1.0,1.0,1.4626,1076,125
B3-018,C1,qos_config,0.75,1.0,0.0,1.0,1.0,1.7069,1108,146
B3-019,C1,qos_config,0.8,1.0,0.0,1.0,1.0,1.2117,1085,123
B3-020,C1,qos_config,0.8,1.0,0.0,1.0,1.0,1.1939,1071,127
B3-021,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.3093,1062,146
B3-022,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.1899,1056,132
B3-023,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.2948,1142,158
B3-024,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.2632,1049,125
B3-025,C1,sdn_flow_config,0.8333,1.0,0.0,1.0,1.0,1.4305,1056,145
B3-026,C1,sdn_flow_config,0.6,1.0,0.0,1.0,1.0,1.4472,1077,142
B3-027,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,2.8401,1069,163
B3-028,C1,sdn_flow_config,0.6667,0.5,0.0,1.0,1.0,1.2912,1121,139
B3-029,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.3681,1058,134
B3-030,C1,sdn_flow_config,0.6667,0.5,0.0,1.0,1.0,1.2054,1070,133
B3-031,C1,ran_handover_config,1.0,1.0,0.0,1.0,1.0,1.2125,1088,139
B3-032,C1,ran_handover_config,1.0,1.0,0.0,1.0,1.0,1.6815,1099,165
B3-033,C1,ran_handover_config,0.8,1.0,0.0,1.0,1.0,1.2968,1143,139
B3-034,C1,ran_handover_config,1.0,0.0,0.0,1.0,1.0,1.4621,1077,146
B3-035,C1,ran_handover_config,0.6667,1.0,0.0,1.0,1.0,1.6769,1094,121
B3-036,C1,ran_handover_config,0.25,1.0,0.0,1.0,,1.4681,1074,139
B3-037,C1,ran_handover_config,0.75,0.0,0.0,1.0,1.0,1.2637,1082,153
B3-038,C1,ran_handover_config,0.75,0.5,0.0,1.0,1.0,1.5204,1132,185
B3-039,C1,slice_policy_config,0.75,1.0,0.0,1.0,1.0,1.3142,1063,137
B3-040,C1,slice_policy_config,0.6667,1.0,0.0,1.0,1.0,1.3443,1059,123
B3-041,C1,slice_policy_config,1.0,1.0,0.0,1.0,1.0,1.1817,1112,120
B3-042,C1,slice_policy_config,1.0,1.0,0.0,1.0,1.0,1.2778,1056,123
B3-043,C1,slice_policy_config,1.0,1.0,0.0,1.0,1.0,1.2687,1060,139
B3-044,C1,slice_policy_config,0.75,1.0,0.0,1.0,1.0,1.1846,1045,120
B3-045,C1,edge_acl_config,1.0,1.0,0.0,1.0,1.0,1.1572,1061,132
B3-046,C1,edge_acl_config,1.0,1.0,0.0,1.0,1.0,2.7663,1050,155
B3-047,C1,operator_history_config,1.0,1.0,0.0,1.0,1.0,1.1189,1065,133
B3-048,C1,operator_history_config,1.0,1.0,0.0,1.0,1.0,1.418,1080,150
B3-049,C1,rag_doc_config,1.0,1.0,0.0,1.0,1.0,2.2242,1095,162
B3-050,C1,rag_doc_config,1.0,0.0,0.0,1.0,1.0,2.3681,1143,184
B3-001,C2,firewall_config,1.0,1.0,0.0,1.0,,1.211,1078,127
B3-002,C2,firewall_config,1.0,1.0,0.0,1.0,,1.9772,1067,149
B3-003,C2,firewall_config,0.75,1.0,0.0,1.0,,1.7455,1130,147
B3-004,C2,firewall_config,0.8333,1.0,0.0,1.0,,1.2858,1065,146
B3-005,C2,firewall_config,1.0,1.0,0.0,1.0,,1.2017,1076,139
B3-006,C2,firewall_config,1.0,1.0,0.0,1.0,,2.4169,1095,138
B3-007,C2,firewall_config,0.75,1.0,0.0,1.0,,1.4117,1141,113
B3-008,C2,firewall_config,0.75,1.0,0.0,1.0,,1.2844,1083,136
B3-009,C2,firewall_config,1.0,1.0,0.0,1.0,,1.1999,1063,126
B3-010,C2,firewall_config,1.0,1.0,0.0,1.0,,1.2594,1084,144
B3-011,C2,qos_config,1.0,1.0,0.0,1.0,,1.1452,1091,127
B3-012,C2,qos_config,0.8,1.0,0.0,1.0,,1.8554,1087,122
B3-013,C2,qos_config,0.75,1.0,0.0,1.0,,1.1198,1127,126
B3-014,C2,qos_config,0.8333,1.0,0.0,1.0,,1.2235,1069,128
B3-015,C2,qos_config,1.0,1.0,0.0,1.0,,1.7439,1084,116
B3-016,C2,qos_config,0.8,1.0,0.0,1.0,,1.3377,1077,133
B3-017,C2,qos_config,1.0,1.0,0.0,1.0,,1.2905,1072,121
B3-018,C2,qos_config,0.5,1.0,0.0,1.0,,1.2454,1111,136
B3-019,C2,qos_config,0.8,1.0,0.0,1.0,,1.311,1086,128
B3-020,C2,qos_config,1.0,1.0,0.0,1.0,,1.2968,1067,117
B3-021,C2,sdn_flow_config,1.0,1.0,0.0,1.0,,1.2764,1059,137
B3-022,C2,sdn_flow_config,1.0,1.0,0.0,1.0,,1.2134,1054,128
B3-023,C2,sdn_flow_config,1.0,1.0,0.0,1.0,,2.9252,1142,161
