sample_id,condition,task_type,field_match,accuracy,leakage,cmd_valid,unmask_success,latency_sec,input_tokens,output_tokens
B3-001,C0,firewall_config,1.0,1.0,1.0,1.0,,1.6038,342,123
B3-002,C0,firewall_config,1.0,1.0,1.0,1.0,,1.5701,347,146
B3-003,C0,firewall_config,0.75,1.0,0.5,1.0,,1.1286,397,107
B3-004,C0,firewall_config,1.0,1.0,1.0,1.0,,1.2128,337,124
B3-005,C0,firewall_config,1.0,1.0,1.0,1.0,,1.1282,338,120
B3-006,C0,firewall_config,1.0,1.0,1.0,1.0,,1.3051,359,135
B3-007,C0,firewall_config,0.75,1.0,0.25,1.0,,1.1339,415,75
B3-008,C0,firewall_config,1.0,1.0,1.0,1.0,,1.216,346,118
B3-009,C0,firewall_config,1.0,1.0,1.0,1.0,,1.0499,328,103
B3-010,C0,firewall_config,1.0,1.0,1.0,1.0,,1.2066,351,129
B3-011,C0,qos_config,1.0,1.0,1.0,1.0,,1.0405,353,114
B3-012,C0,qos_config,1.0,1.0,1.0,1.0,,1.1214,347,98
B3-013,C0,qos_config,0.75,1.0,1.0,1.0,,1.2104,399,112
B3-014,C0,qos_config,1.0,1.0,1.0,1.0,,1.1181,333,95
B3-015,C0,qos_config,0.8,1.0,1.0,1.0,,1.1246,348,95
B3-016,C0,qos_config,0.6,1.0,1.0,1.0,,1.219,341,107
B3-017,C0,qos_config,1.0,1.0,1.0,1.0,,1.1216,341,92
B3-018,C0,qos_config,0.75,1.0,1.0,1.0,,1.2151,378,119
B3-019,C0,qos_config,0.8,1.0,1.0,1.0,,1.1125,355,122
B3-020,C0,qos_config,0.8,1.0,1.0,1.0,,1.0334,333,99
B3-021,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.3855,332,123
B3-022,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.1253,332,120
B3-023,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.2097,416,139
B3-024,C0,sdn_flow_config,0.8,1.0,1.0,1.0,,1.2106,311,83
B3-025,C0,sdn_flow_config,0.8333,1.0,1.0,1.0,,1.2148,325,121
B3-026,C0,sdn_flow_config,0.6,0.5,0.6667,1.0,,1.1217,330,94
B3-027,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.2171,334,139
B3-028,C0,sdn_flow_config,0.5,0.5,0.75,1.0,,1.0375,397,103
B3-029,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.1167,317,93
B3-030,C0,sdn_flow_config,0.6667,0.5,0.75,1.0,,1.131,334,117
B3-031,C0,ran_handover_config,0.75,1.0,0.6667,1.0,,1.1109,341,87
B3-032,C0,ran_handover_config,1.0,1.0,1.0,1.0,,1.2146,337,113
B3-033,C0,ran_handover_config,0.8,1.0,1.0,1.0,,1.0256,406,90
B3-034,C0,ran_handover_config,0.75,0.0,1.0,1.0,,1.1185,334,107
B3-035,C0,ran_handover_config,0.6667,1.0,0.6,1.0,,1.1186,346,87
B3-036,C0,ran_handover_config,1.0,1.0,1.0,1.0,,1.1244,333,114
B3-037,C0,ran_handover_config,1.0,0.0,1.0,1.0,,1.116,330,102
B3-038,C0,ran_handover_config,0.75,0.5,1.0,1.0,,1.1275,382,151
B3-039,C0,slice_policy_config,0.75,1.0,1.0,1.0,,1.1245,330,107
B3-040,C0,slice_policy_config,0.6667,1.0,1.0,1.0,,1.0288,323,89
B3-041,C0,slice_policy_config,1.0,1.0,0.5,1.0,,1.0332,380,85
B3-042,C0,slice_policy_config,1.0,1.0,1.0,1.0,,1.1297,326,91
B3-043,C0,slice_policy_config,0.75,1.0,1.0,1.0,,1.1226,319,113
B3-044,C0,slice_policy_config,0.75,1.0,1.0,1.0,,1.1249,320,107
B3-045,C0,edge_acl_config,1.0,1.0,1.0,1.0,,1.0461,307,90
B3-046,C0,edge_acl_config,1.0,1.0,1.0,1.0,,1.1239,321,127
B3-047,C0,operator_history_config,1.0,1.0,1.0,1.0,,1.0393,331,118
B3-048,C0,operator_history_config,1.0,1.0,1.0,1.0,,1.293,364,127
B3-049,C0,rag_doc_config,1.0,1.0,1.0,1.0,,1.2104,348,133
B3-050,C0,rag_doc_config,1.0,0.0,1.0,1.0,,1.1233,393,108
B3-001,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.0295,330,93
B3-002,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.2952,327,102
B3-003,C1,firewall_config,0.75,1.0,0.0,1.0,1.0,1.2221,367,72
B3-004,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.117,325,102
B3-005,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.0447,329,97
B3-006,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.1149,340,99
B3-007,C1,firewall_config,0.75,1.0,0.0,1.0,1.0,1.032,382,66
B3-008,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.0421,332,93
B3-009,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.0222,321,84
B3-010,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.1269,339,114
B3-011,C1,qos_config,1.0,1.0,0.0,1.0,1.0,1.0377,336,80
B3-012,C1,qos_config,0.8,1.0,0.0,1.0,1.0,1.0265,339,68
B3-013,C1,qos_config,0.75,1.0,0.0,1.0,1.0,1.2093,369,80
B3-014,C1,qos_config,1.0,1.0,0.0,1.0,1.0,1.051,329,91
B3-015,C1,qos_config,0.8,1.0,0.0,1.0,1.0,1.0338,340,94
B3-016,C1,qos_config,0.6,1.0,0.0,1.0,1.0,1.0384,334,89
B3-017,C1,qos_config,1.0,1.0,0.0,1.0,1.0,1.1203,333,81
B3-018,C1,qos_config,0.75,1.0,0.0,1.0,1.0,1.1302,360,102
B3-019,C1,qos_config,1.0,1.0,0.0,1.0,1.0,1.0376,336,88
B3-020,C1,qos_config,0.8,1.0,0.0,1.0,1.0,1.1213,325,79
B3-021,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.0352,322,104
B3-022,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.1202,317,91
B3-023,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.2092,386,114
B3-024,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.1204,310,83
B3-025,C1,sdn_flow_config,0.8333,1.0,0.0,1.0,1.0,1.1204,318,102
B3-026,C1,sdn_flow_config,0.4,0.5,0.0,1.0,1.0,1.0388,328,74
B3-027,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.2077,327,119
B3-028,C1,sdn_flow_config,0.8333,1.0,0.0,1.0,1.0,1.122,371,97
B3-029,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.0432,314,83
B3-030,C1,sdn_flow_config,0.6667,0.5,0.0,1.0,1.0,1.0402,324,92
B3-031,C1,ran_handover_config,1.0,1.0,0.0,1.0,1.0,1.1994,337,94
B3-032,C1,ran_handover_config,1.0,1.0,0.0,1.0,1.0,1.1259,348,118
B3-033,C1,ran_handover_config,0.8,1.0,0.0,1.0,1.0,1.0343,385,94
B3-034,C1,ran_handover_config,1.0,0.0,0.0,1.0,1.0,1.2934,329,104
B3-035,C1,ran_handover_config,0.6667,1.0,0.0,1.0,1.0,1.04,346,74
B3-036,C1,ran_handover_config,1.0,1.0,0.0,1.0,1.0,1.1263,327,94
B3-037,C1,ran_handover_config,1.0,0.0,0.0,1.0,1.0,1.1273,336,103
B3-038,C1,ran_handover_config,1.0,1.0,0.0,1.0,1.0,1.2198,374,135
B3-039,C1,slice_policy_config,0.75,1.0,0.0,1.0,1.0,1.1184,322,93
B3-040,C1,slice_policy_config,0.6667,1.0,0.0,1.0,1.0,1.1258,317,83
B3-041,C1,slice_policy_config,1.0,1.0,0.0,1.0,1.0,1.1185,358,76
B3-042,C1,slice_policy_config,1.0,1.0,0.0,1.0,1.0,1.0399,316,81
B3-043,C1,slice_policy_config,1.0,1.0,0.0,1.0,1.0,1.1227,315,90
