sample_id,condition,task_type,field_match,accuracy,leakage,cmd_valid,unmask_success,latency_sec,input_tokens,output_tokens
B3-001,C0,firewall_config,1.0,1.0,1.0,1.0,,3.1071,363,74
B3-002,C0,firewall_config,1.0,1.0,1.0,1.0,,2.0972,359,88
B3-003,C0,firewall_config,0.75,1.0,0.5,1.0,,1.2567,404,68
B3-004,C0,firewall_config,1.0,1.0,1.0,1.0,,1.1426,357,81
B3-005,C0,firewall_config,1.0,1.0,1.0,1.0,,1.1549,364,78
B3-006,C0,firewall_config,1.0,1.0,1.0,1.0,,1.1046,373,83
B3-007,C0,firewall_config,0.75,1.0,0.25,1.0,,3.0836,425,53
B3-008,C0,firewall_config,1.0,1.0,1.0,1.0,,1.0144,363,74
B3-009,C0,firewall_config,1.0,1.0,1.0,1.0,,1.5103,353,74
B3-010,C0,firewall_config,0.8,1.0,1.0,1.0,,1.2206,367,97
B3-011,C0,qos_config,1.0,1.0,1.0,1.0,,2.6123,372,68
B3-012,C0,qos_config,1.0,1.0,1.0,1.0,,1.5774,367,61
B3-013,C0,qos_config,0.75,1.0,1.0,1.0,,1.0148,402,68
B3-014,C0,qos_config,1.0,1.0,1.0,1.0,,0.983,358,72
B3-015,C0,qos_config,1.0,1.0,1.0,1.0,,1.2448,369,65
B3-016,C0,qos_config,0.8,1.0,1.0,1.0,,1.5676,366,72
B3-017,C0,qos_config,1.0,1.0,1.0,1.0,,0.8365,361,61
B3-018,C0,qos_config,0.75,1.0,1.0,1.0,,1.0777,396,77
B3-019,C0,qos_config,0.6,1.0,1.0,1.0,,1.0895,372,77
B3-020,C0,qos_config,1.0,1.0,1.0,1.0,,1.0081,356,66
B3-021,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.8169,354,78
B3-022,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.4313,350,70
B3-023,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.155,417,83
B3-024,C0,sdn_flow_config,0.6,1.0,1.0,1.0,,0.9992,342,59
B3-025,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.1278,350,84
B3-026,C0,sdn_flow_config,0.6,1.0,0.6667,1.0,,1.1746,361,84
B3-027,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.7245,358,88
B3-028,C0,sdn_flow_config,0.6667,0.5,0.75,1.0,,1.0341,400,75
B3-029,C0,sdn_flow_config,1.0,1.0,1.0,1.0,,1.0221,348,68
B3-030,C0,sdn_flow_config,0.6667,0.5,1.0,1.0,,0.9093,354,75
B3-031,C0,ran_handover_config,0.75,0.5,1.0,1.0,,1.0609,362,60
B3-032,C0,ran_handover_config,1.0,1.0,1.0,1.0,,1.1526,364,74
B3-033,C0,ran_handover_config,0.8,1.0,1.0,1.0,,0.8127,405,62
B3-034,C0,ran_handover_config,0.75,0.0,1.0,1.0,,1.0317,357,77
B3-035,C0,ran_handover_config,0.6667,1.0,1.0,1.0,,1.273,365,72
B3-036,C0,ran_handover_config,0.75,0.5,1.0,1.0,,1.0047,355,57
B3-037,C0,ran_handover_config,1.0,0.0,1.0,1.0,,1.0834,355,66
B3-038,C0,ran_handover_config,1.0,1.0,1.0,1.0,,1.4083,389,100
B3-039,C0,slice_policy_config,0.75,1.0,1.0,1.0,,1.1288,348,57
B3-040,C0,slice_policy_config,0.6667,1.0,1.0,1.0,,1.0493,351,62
B3-041,C0,slice_policy_config,1.0,1.0,0.5,1.0,,0.9538,384,54
B3-042,C0,slice_policy_config,1.0,1.0,1.0,1.0,,0.9218,345,57
B3-043,C0,slice_policy_config,1.0,1.0,1.0,1.0,,1.069,348,71
B3-044,C0,slice_policy_config,0.5,1.0,1.0,1.0,,0.9491,339,58
B3-045,C0,edge_acl_config,1.0,1.0,1.0,1.0,,0.7792,338,57
B3-046,C0,edge_acl_config,1.0,1.0,1.0,1.0,,1.5173,340,90
B3-047,C0,operator_history_config,1.0,1.0,1.0,1.0,,1.0334,350,76
B3-048,C0,operator_history_config,1.0,1.0,1.0,1.0,,1.3588,371,77
B3-049,C0,rag_doc_config,1.0,1.0,1.0,1.0,,1.205,367,80
B3-050,C0,rag_doc_config,1.0,0.0,1.0,1.0,,1.0108,397,68
B3-001,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,0.9767,363,76
B3-002,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.2387,355,80
B3-003,C1,firewall_config,0.75,1.0,0.0,1.0,1.0,0.9619,400,64
B3-004,C1,firewall_config,1.0,1.0,0.0,1.0,1.0,1.0883,356,83
